SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
726.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
758.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
742.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
694.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
710.0,ABC Double J,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
678.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
726.0,ABC Double J,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Double J,https://www.lyngsat.com/radiochannels/au/ABC-Double-J.html,,,False,ABC Sydney,Eng,au,
